id,label,lat,kingdom,description
1,Плоды и семена,Fructibus et seminibus,Plantae,"Семя — орган полового размножения и расселения покрытосеменных и голосеменных растений. Семя состоит из зародыша, эндосперма и семенной кожуры. Плод — орган, свойственный только покрытосеменным растениям. Он обеспечивает развитие, защиту и распространение семян."
2,Цветковые растения,Angiospermae,Plantae,"Цветко́вые расте́ния, или Покры́тосеменны́е, устар. «Скрытносемянные» — в классификациях, предшествовавших системе APG, это отдел высших растений, отличительной особенностью которых является наличие цветка в качестве органа полового размножения и замкнутого вместилища у семяпочки."
3,Листья,Folia,Plantae,"Вегетативный орган растения, основными функциями которого является фотосинтез, газообмен и транспирация. Для этой цели лист, как правило, имеет пластинчатую структуру, чтобы дать клеткам, содержащим в хлоропластах специализированный пигмент хлорофилл, доступ к солнечному свету."
4,Древесина,Lignum,Plantae,"Плотная твёрдая часть дерева или кустарника, находящаяся под корой."
5,Кора,Bark,Plantae,"Общее название совокупности тканей, расположенных снаружи от камбия. Имеется как в стеблях, так и в корнях, состоит из тканей различного строения и происхождения. В общей сложности в состав коры можно включить следующие растительные ткани: корка (ритидом), перидерма (пробка (или феллема), феллоген, феллодерма), первичная кора, перицикл, вторичная кора (вторичная флоэма)."
6,Бабочки,Lepidoptera,Insecta,"Чешуекры́лые, или ба́бочки, — отряд насекомых с полным превращением, наиболее характерная особенность представителей которого — наличие густого покрова хитиновых чешуек на передних и задних крыльях."
7,Земляные черви,Lumbricina,Insecta,"Земляны́е че́рви, или дождевы́е че́рви, — подотряд малощетинковых червей из отряда Crassiclitellata. Обитают на всех континентах, кроме Антарктиды, однако лишь немногие виды изначально имели широкий ареал: распространение ряда представителей произошло за счёт интродукции человеком. "
8,Гусеница,Eruca,Insecta,"Гу́сеница — личинка насекомых из отряда чешуекрылых. Тело состоит из головы, трёх грудных и десяти брюшных сегментов. Голова с мощно склеротизованными покровами, остальное тело у большинства мягкое, без крупных склеритов."
9,Слизни,Limax,Insecta,"Сли́зень — общеупотребительное название ряда брюхоногих моллюсков, которые в ходе эволюционного развития претерпели редукцию или полную утрату раковины. Слизни противопоставляются брюхоногим с хорошо развитой раковиной. "
10,Жуки-сверильщики,Reaver beetle,Insecta,"Сверли́ла, или сверлильщики, или буравельщики (Lymexylidae =Lymexylonidae) — семейство насекомых из отряда жесткокрылых. Единственное семейство из надсемейства Lymexyloidea."
11,Мокрицы,Oniscidea,Insecta,Мокри́цы — подотряд ракообразных из отряда равноногих.
12,Жуки,Coleoptera,Insecta,"Отряд насекомых, представители которого характеризуются видоизменением передних крыльев в твёрдые, сильно склеротизированные, либо кожистые надкрылья, лишённые жилкования, с сохранением перепончатых задних крыльев, служащих для полёта и в спокойном состоянии сложенных под надкрыльями."
13,Лягушки,Ranae,Amphibia,Лягушки — общеупотребительное название группы животных из отряда бесхвостых земноводных. В широком смысле термин «лягушка» относится ко всем представителям отряда бесхвостых. В узком смысле это название применяется по отношению к представителям семейства настоящих лягушек. Личинки лягушек называются головастиками.
14,Пауки,Araneae,Arthropods,"Пауки́ — отряд членистоногих, первый по числу известных видов в классе паукообразных. Представители отряда распространены повсеместно. Пауки — облигатные хищники, питаются прежде всего насекомыми или другими мелкими животными."
15,Чёрные дрозды,Turdus merula,Aves,"Чёрный дрозд — вид птиц рода дрозды семейства дроздовых. Длина тела около 25 см. Оперение у самцов однотонное чёрное, блестящее, клюв жёлтый; оперение самок и молодых птиц большей частью тёмно-коричневое либо бурое. Песня чёрного дрозда разнообразна и мелодична; он считается одним из лучших певцов среди птиц."
16,Белки,Sciurus,Animalia,"Бе́лки — род грызунов семейства беличьих. Кроме собственно рода Sciurus, белками называют ещё целый ряд представителей семейства беличьих из родов красные белки, пальмовые белки и многих других."
17,Синицы,Parus,Aves,"Синицы, или настоящие синицы, — род птиц семейства синицевых. Типичный представитель рода — большая синица — широко распространена на территории России."
18,Ужи,Natrix natrix,Serpentes,"Обыкновенный уж — наиболее распространённый в умеренных широтах Евразии вид настоящих ужей, неядовитых змей из семейства ужеобразных."
19,Землеройки,Soricidae,Animalia,Землеро́йковые — семейство млекопитающих из отряда насекомоядных.
20,Совы,Strigiformes,Aves,"Отряд, включающий более 200 видов птиц преимущественно средней величины, распространённых во всех частях света, кроме Антарктики и некоторых островов. В отряде два современных семейства: совиные, или настоящие совы, а также сипуховые. Совообразные обладают крупной головой и большими глазами."
21,Лисы,Vulpes,Animalia,"Полифилетическая группа млекопитающих из семейства псовых отряда хищных. В старославянском языке прилагательному «лисый» соответствовало определение желтоватого, рыжего и желтовато-оранжевого цвета, характерного для окраса широко распространенной в Евразии лисы обыкновенной."
